OID_;propertyCode;avg_d_kbps;avg_u_kbps
129;35563634;161218;133320
130;81458321;224509;197692
131;95734874;182093;149480
132;95734271;121951;99378
133;95722961;171344;151598
134;95721825;217680;163373
135;95721517;340936;256320
136;95720845;231431;180607
137;95686420;211772;162125
138;95676355;239395;168481
139;95660463;110867;101976
140;95600342;153863;124068
141;37373014;240785;184204
142;95551486;110867;101976
143;95465127;174620;130372
144;95429041;182989;145859
145;95406765;139352;105617
146;95371029;175431;131081
147;95308715;165312;124423
148;95220217;202727;162432
149;95096672;161218;133320
150;94959175;171902;129786
151;94893436;162458;125231
152;94686973;161218;133320
153;94605965;189083;137214
154;94310256;174620;130372
155;93806401;121951;99378
156;93203944;139325;121662
157;93235118;132690;105282
158;93209925;128004;109403
159;93178062;128004;109403
160;92792991;211286;162765
161;95706371;228647;175280
162;95632848;157560;100962
163;95703586;193476;152530
164;87471708;144806;120310
165;95733946;162458;125231
166;95727706;205245;157976
167;95727577;157707;138799
168;95726732;209951;199592
169;95693370;188100;153880
170;92760464;110867;101976
171;95632568;223844;163182
172;92961519;128004;109403
173;95620449;186431;137181
174;95614155;197701;164489
175;90114143;182989;145859
176;88190623;175546;126378
177;95573014;163654;111478
178;95388603;121951;99378
179;92027980;197701;164489
